timestamp,LF_angle,LF_velocity,RF_angle,RF_velocity,LB_angle,LB_velocity,RB_angle,RB_velocity,v_x,v_y,omega
0.9758389500000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.10325717999999999,31.9912,1.39358,32.0035,1.3931,32.0109,1.39388,32.0232,1.3934,-0.776705,1.15684,-0.0164549
0.09706805999999998,32.007,2.49989,32.0094,2.49973,32.0109,2.5,32.0133,2.49983,-1.39958,2.07134,-0.00581636
0.1006179,32.0089,2.49993,32.0104,2.49983,32.0113,2.5,32.0128,2.49989,-1.40106,2.0704,-0.00359697
0.10124398000000001,32.009,2.49995,32.0102,2.49986,32.011,2.5,32.0122,2.49992,-1.40056,2.07077,-0.00296172
0.10125901999999999,31.9778,2.49983,31.9817,2.49956,31.9841,2.5,31.988,2.49973,-1.34258,2.10863,-0.00941975
0.10090587999999999,31.922,2.49975,31.9277,2.49935,31.9311,2.5,31.9368,2.4996,-1.22784,2.17729,-0.0136417
0.10183025,31.9222,2.49974,31.9281,2.49933,31.9317,2.5,31.9376,2.49959,-1.22892,2.17667,-0.014207
0.10423398,31.8559,2.49982,31.8602,2.49952,31.8627,2.5,31.867,2.4997,-1.07721,2.25573,-0.0101597
0.09920093999999999,32.3785,2.49987,32.3814,2.49967,32.3831,2.5,32.386,2.4998,-2.05686,1.42072,-0.00636043
0.09943296,32.3464,2.49986,32.3497,2.49963,32.3516,2.5,32.3549,2.49977,-2.01093,1.48499,-0.00730363
0.09938216000000001,32.3437,2.49982,32.3477,2.49954,32.3501,2.5,32.3542,2.49972,-2.00832,1.48842,-0.00902272
0.10426184999999999,32.3217,2.49978,32.3267,2.49944,32.3296,2.5,32.3346,2.49965,-1.97692,1.52978,-0.0111756
0.10028196,32.2891,2.49972,32.2956,2.49927,32.2993,2.5,32.3058,2.49956,-1.92896,1.58968,-0.0146281
0.09968495,32.2211,2.49963,32.2295,2.49905,32.2344,2.5,32.2428,2.49942,-1.82067,1.71243,-0.0193681
0.10164597,32.1281,2.49943,32.141,2.49853,32.1487,2.5,32.1617,2.4991,-1.6646,1.864,-0.0305506
1.6718149000000004,32.2402,0.0,32.2456,0.0,32.2487,0.0,32.2542,0.0,0.0,0.0,0.0
